Age,School,Experiment,Example,Choice,AgeGroup,Location
20,,US_Turk_Adults,Lamp,Color,Adults,US
50,,US_Turk_Adults,Lamp,Shape,Adults,US
32,,US_Turk_Adults,Lamp,Shape,Adults,US
30,,US_Turk_Adults,Lamp,Shape,Adults,US
24,,US_Turk_Adults,Lamp,Shape,Adults,US
27,,US_Turk_Adults,Lamp,Shape,Adults,US
33,,US_Turk_Adults,Lamp,Shape,Adults,US
26,,US_Turk_Adults,Lamp,Shape,Adults,US
24,,US_Turk_Adults,Lamp,Shape,Adults,US
28,,US_Turk_Adults,Lamp,Shape,Adults,US
,,US_Turk_Adults,Lamp,Shape,Adults,US
35,,US_Turk_Adults,Lamp,Shape,Adults,US
26,,US_Turk_Adults,Lamp,Shape,Adults,US
30,,US_Turk_Adults,Lamp,Shape,Adults,US
49,,US_Turk_Adults,Lamp,Shape,Adults,US
25,,US_Turk_Adults,Lamp,Shape,Adults,US
33,,US_Turk_Adults,Lamp,Shape,Adults,US
29,,US_Turk_Adults,Lamp,Shape,Adults,US
28,,US_Turk_Adults,Lamp,Shape,Adults,US
23,,US_Turk_Adults,Lamp,Shape,Adults,US
56,,US_Turk_Adults,Lamp,Shape,Adults,US
26,,US_Turk_Adults,Lamp,Shape,Adults,US
28,,US_Turk_Adults,Lamp,Color,Adults,US
29,,US_Turk_Adults,Lamp,Shape,Adults,US
36,,US_Turk_Adults,Lamp,Shape,Adults,US
31,,US_Turk_Adults,Lamp,Shape,Adults,US
27,,US_Turk_Adults,Lamp,Shape,Adults,US
26,,US_Turk_Adults,Lamp,Shape,Adults,US
24,,US_Turk_Adults,Lamp,Shape,Adults,US
